-1736, 75, 606
-1703, 55, 546
-1693, 7, 525
-1517, -74, 566
-1631, -107, 696
-1443, -136, 694
-,-,-
-541, -104, -70
-555, 78, 103
-623, 1, 406
-342, -182, 88
-342, -182, 88
-331, -143, 321
-383, -23, 205
-412, -37, -98
-467, -17, 236
-496, -54, 294
-526, -98, 221
-568, -172, -4
-653, -152, 5
-653, -152, 5
-777, -144, 238
-1062, -28, 368
-1210, 15, 326
-1310, -45, 522
-1465, -42, 635
-1647, 45, 828
-1721, 18, 708
-1799, 8, 719
-1799, 8, 719
-1936, 24, 740
-1913, -15, 759
-1876, 28, 625
-1880, 102, 632
-1408, 15, 624
-1436, -40, 579
-,-,-
-423, -86, -186
-341, 68, -29
-490, 88, 593
-461, -23, 366
-343, -80, 124
-363, -66, 99
-381, -90, -24
-381, -90, -24
-299, -67, -78
-416, -16, 24
-615, 63, 184
-689, 48, 182
-742, -20, 64
-742, -20, 64
-844, -3, 295
-996, 26, 327
-1136, 4, 365
-1148, -82, 338
-1189, -82, 512
-1360, 4, 671
-1360, 4, 671
-1566, 32, 539
-1598, 30, 626
-1657, 3, 658
-1908, 18, 794
-1998, 81, 850
-1901, 20, 754
-,-,-
-463, -41, -148
-523, -43, 111
-529, -89, 612
-590, -99, 351
-590, -99, 351
-620, -61, 97
-492, -70, 267
-542, -135, 179
-483, -129, 163
-596, -112, 181
-729, -26, 130
-758, -10, 34
-724, -57, 92
-724, -57, 92
-944, 13, 148
-1146, 57, 212
-1215, 42, 238
-1198, -15, 433
-1281, -51, 566
-1472, 3, 591
-1472, 3, 591
-1508, -11, 604
-1643, 0, 715
-1874, 79, 1016
-1845, -3, 890
-1813, 13, 857
-1737, 68, 883
-1408, 41, 649
-,-,-
-351, -75, -356
-320, -23, 243
-320, -23, 243
-351, -13, 365
-466, -9, 66
-450, -24, 149
-518, -33, 160
-589, -38, 13
-626, -23, 72
-626, -23, 72
-683, -44, 183
-775, -99, 255
-744, -129, 353
-857, -115, 270
-1119, -13, 467
-1355, 37, 598
-1484, 29, 650
-1513, -21, 575
-1576, -67, 705
-1576, -67, 705
-1750, -143, 675
-1805, -93, 733
-1886, -74, 723
-1842, -40, 632
-1855, 15, 562
-1853, 69, 511
-,-,-
-309, -179, -346
-180, -43, -365
-555, -85, 703
-725, -60, 384
-729, 35, -196
-718, 19, 237
-718, 19, 237
-655, -138, 68
-559, -167, 96
-680, -70, 187
-738, -13, 78
-856, 33, 160
-1028, 59, 412
-1028, 59, 412
-1220, 78, 478
-1165, -9, 440
-1222, -40, 479
-1428, 56, 598
-1559, 30, 680
-1568, -46, 652
-1595, -81, 691
-1710, -30, 692
-1808, 17, 686
-1808, 17, 686
-1834, 83, 682
-1770, 92, 624
-,-,-
-229, -133, -282
-538, -80, 82
-585, -131, 84
-330, -157, -26
-490, -115, 204
-552, -72, -33
-538, -25, -203
-655, -10, 71
-619, -66, 162
-619, -66, 162
-671, -156, 47
-602, -176, 106
-755, -54, 269
-922, 18, 347
-1046, -29, 247
-1112, -53, 195
-1124, -38, 438
-1313, -49, 539
-1427, -63, 599
-1559, -98, 511
-1559, -98, 511
-1597, -97, 539
-1713, -124, 604
-1830, -61, 575
-1981, 32, 646
-1985, 59, 654
-1824, -1, 592
-1692, -93, 655
-1639, -109, 613
-1666, -57, 546
-,-,-
-269, -184, -169
-419, -140, 28
-280, -6, 679
-619, -100, 477
-739, -121, -75
-590, -62, 250
-648, -109, -103
-672, -113, 0
-729, -128, 375
-729, -128, 375
-835, -137, 286
-939, -73, 356
-1054, -33, 332
-993, -156, 375
-1075, -182, 511
-1123, -156, 407
-1247, -150, 666
-1440, -89, 772
-1692, -43, 708
-1843, -29, 727
-1929, -3, 691
-1967, 68, 669
-1940, 123, 639
-1850, 107, 577
-1711, 28, 384
-1711, 28, 384
-,-,-
-349, -6, -369
-349, -6, -369
-502, -70, -22
-399, -53, 535
-332, -73, 245
-491, -98, -93
-421, -117, 172
-468, -105, 258
-573, -70, 68
-641, -31, 113
-641, -31, 113
-686, -43, 220
-811, -32, 284
-880, 19, 254
-1063, 87, 159
-1217, 78, 457
-1509, 35, 496
-1662, 2, 528
-1662, 2, 528
-1768, -28, 738
-1950, -83, 617
-1902, -96, 643
-1995, 61, 540
-1977, 135, 471
-1861, 119, 478
-1713, 74, 420
-1660, 40, 450
-1625, -10, 430
-1625, -10, 430
-,-,-
-229, 0, -218
-132, 6, 203
-132, 6, 203
-157, -147, 383
-419, -67, 83
-534, 75, 22
-500, 8, -78
-500, 8, -78
-513, -21, -35
-662, 27, 24
-907, 46, -41
-1123, -18, 72
-1123, -18, 72
-1391, -43, 513
-1484, -48, 517
-1650, 3, 439
-1651, 64, 537
-1687, 80, 694
-1591, 50, 668
-1487, 52, 499
-1445, 35, 558
-1445, 35, 558
-1386, 2, 466
-1389, 6, 445
-1533, 69, 472
-1649, 92, 577
-1497, 74, 535
-1478, 49, 630
-,-,-
-359, -13, -192
-442, -87, 185
-597, -137, 520
-590, -152, 489
-582, -93, 80
-641, -18, 45
-617, -29, 61
-630, -30, 92
-630, -30, 92
-621, -50, 95
-626, -35, 69
-704, 15, 2
-884, 50, 144
-884, 50, 144
-957, 39, 86
-932, 19, 50
-1046, 29, 34
-1263, 33, 174
-1263, 33, 174
-1473, 0, 504
-1639, -16, 413
-1827, 38, 571
-1997, 21, 649
-1983, -26, 610
-1986, 69, 611
-1998, 86, 632
-1996, 123, 575
-1996, 123, 575
-1929, 126, 534
-,-,-
-511, -20, -291
-418, -34, 313
-723, -81, 557
-723, -81, 557
-664, -81, 169
-556, -96, 240
-478, -97, 45
-523, -63, -147
-631, 9, 262
-586, 19, 234
-586, 19, 234
-581, -29, 189
-546, -98, 194
-569, -115, 183
-762, -79, 336
-904, -64, 315
-1012, -21, 337
-1124, -56, 553
-1213, -109, 581
-1438, -70, 701
-1438, -70, 701
-1634, 24, 648
-1737, 7, 721
-1810, -39, 700
